pair,group_col,group,n,mean_y_asym,pct_src_harder,mean_abs_shap__cat__semantic_field_feeling,mean_abs_shap__cat__semantic_field_person,mean_abs_shap__cat__semantic_field_body,mean_abs_shap__num__src_session_count,mean_abs_shap__cat__semantic_field_change,mean_abs_shap__cat__semantic_field_quantity,mean_abs_shap__cat__semantic_field_object,mean_abs_shap__cat__semantic_field_state,mean_abs_shap__cat__semantic_field_shape,mean_abs_shap__num__tgt_session_count,mean_abs_shap__cat__tgt_pos_adv,mean_abs_shap__cat__semantic_field_time,mean_abs_shap__cat__semantic_field_location,mean_abs_shap__cat__semantic_field_substance,mean_abs_shap__cat__semantic_field_cognition
EN<->PT,semantic_field,plant,3,2.533820353236966,0.6666666666666666,1.2905107736587524,0.7935769557952881,1.1794532537460327,0.43769633769989014,0.9792454838752747,0.6253697276115417,0.7250279784202576,0.595705509185791,0.4872013330459595,0.5325780510902405,0.41772040724754333,0.43095359206199646,0.2602331042289734,0.3719150722026825,0.48260974884033203
EN<->PT,semantic_field,event,3,-1.3793008700267027,0.6666666666666666,1.3969577550888062,0.5189225673675537,0.5848382115364075,0.9060240387916565,0.5846915245056152,0.6466841101646423,0.4006887972354889,0.5586702227592468,0.48417460918426514,0.5618290901184082,0.4384869635105133,0.43029287457466125,0.4637892246246338,0.39794695377349854,0.35455501079559326
EN<->PT,semantic_field,phenomenon,3,2.284666174438446,1.0,1.3734897375106812,0.700314998626709,0.8411691784858704,0.9837455749511719,0.8056491017341614,0.6736887097358704,0.42837563157081604,0.6402323842048645,0.46012747287750244,0.1944739818572998,0.4264046251773834,0.31834927201271057,0.5027031898498535,0.4277271330356598,0.37697634100914
EN<->PT,semantic_field,pert,2,-0.3050090313761453,0.5,1.486875295639038,0.6431359052658081,0.47103679180145264,0.14877045154571533,0.5969451069831848,0.4282097816467285,0.4325523376464844,0.1510474681854248,0.45786285400390625,0.10550766438245773,0.5003463625907898,0.4992227852344513,0.5175146460533142,0.37063974142074585,0.2965979278087616
EN<->PT,semantic_field,contact,2,-0.15270934044823337,0.5,1.3313041925430298,0.5719902515411377,0.6985659599304199,0.8877344131469727,0.8127140998840332,0.578360915184021,0.44708800315856934,0.8249992728233337,0.4337497651576996,0.25537484884262085,0.4284917116165161,0.45646631717681885,0.3847709000110626,0.38593751192092896,0.15101924538612366
EN<->PT,semantic_field,creation,2,0.8122762631570208,1.0,1.3874633312225342,0.7817014455795288,0.5753514766693115,0.05441886931657791,0.34261730313301086,0.6650766730308533,0.3413020074367523,0.200857475399971,0.45606034994125366,0.45524662733078003,0.42760592699050903,0.34440815448760986,0.5760477185249329,0.41867518424987793,0.3499726355075836
EN<->PT,semantic_field,emotion,2,-0.30007502772858885,0.5,1.2112843990325928,0.2316608428955078,0.3686365485191345,0.3154716491699219,0.3248050808906555,0.5098199248313904,0.5341330766677856,0.10852973908185959,0.43946918845176697,0.43243134021759033,0.30807554721832275,0.5234898924827576,0.2239333987236023,0.38468194007873535,0.37735816836357117
EN<->PT,semantic_field,substance,2,-0.40470967396352275,0.5,1.320183277130127,0.445075660943985,0.705901026725769,0.1490817815065384,0.6554967164993286,0.3827913701534271,0.8462140560150146,1.0465471744537354,0.4479077458381653,0.3548492193222046,0.31896787881851196,0.4531329274177551,0.1363476812839508,0.29946017265319824,0.2747044265270233
EN<->PT,semantic_field,perception,1,-2.912757647114673,0.0,1.2589421272277832,0.4702266752719879,0.506838321685791,0.3339213728904724,0.3466227054595947,0.6116153001785278,0.5658078193664551,0.6287121772766113,0.4345135986804962,0.3590449094772339,0.40966883301734924,0.4081093370914459,0.2860884666442871,0.33677393198013306,0.3866492807865143
EN<->PT,semantic_field,competition,1,-2.9680026040758207,0.0,1.3050620555877686,0.8282031416893005,0.38408321142196655,0.25969254970550537,0.3623574674129486,0.2533443868160248,0.6039649844169617,0.2654697000980377,0.4621221125125885,0.36877354979515076,0.49809738993644714,0.4373740553855896,0.23326782882213593,0.35505208373069763,0.315915048122406
EN<->PT,semantic_field,feeling,1,2.4854472376934673,1.0,1.285263180732727,0.7928449511528015,0.6390933990478516,0.485599547624588,0.5812917947769165,0.5194716453552246,0.5451985001564026,0.2946245074272156,0.459271639585495,0.3225710988044739,0.10058534890413284,0.5319709777832031,0.19177578389644623,0.34162604808807373,0.2504725158214569
EN<->PT,semantic_field,consumption,1,-3.5064165700694705,0.0,1.3076918125152588,0.24968843162059784,0.4951981008052826,0.3152720034122467,0.34902071952819824,0.5058293342590332,0.573511004447937,0.23301485180854797,0.4396662414073944,0.49616989493370056,0.48394104838371277,0.27187538146972656,0.5242297649383545,0.3152819275856018,0.6222032904624939
EN<->PT,semantic_field,change,1,-0.40726221416140973,0.0,1.377907395362854,0.46355360746383667,0.44520241022109985,0.5806679725646973,0.3380856215953827,0.7857744693756104,0.5485341548919678,0.6653624176979065,0.4115092158317566,0.37866514921188354,0.5599002242088318,0.229658305644989,0.7408773899078369,0.4372483491897583,0.2342861145734787
EN<->PT,semantic_field,relation,1,7.951785746931375,1.0,1.4220101833343506,0.4324326515197754,0.7243673205375671,2.981452703475952,0.9230083227157593,0.6387225389480591,0.3711715638637543,0.3162226974964142,0.5705513954162598,0.6699591279029846,0.37900665402412415,0.5574719905853271,0.20933638513088226,0.42044225335121155,0.6070141196250916
EN<->PT,semantic_field,animal,1,-4.6858024998242165,0.0,1.335665225982666,0.364821195602417,0.5226032733917236,0.19831547141075134,0.36805102229118347,0.30812132358551025,0.5636618137359619,0.4225262701511383,0.4282538890838623,0.8420039415359497,0.5151310563087463,0.35649633407592773,0.3679439127445221,0.20684170722961426,0.47276386618614197
